"iyear","nkill","nwound","attacktype1","nattack"
"1991","106","14","Hostage taking (kidnapping)","204"
"1991","65","159","Facility/Infraestructure attack","344"
"1991","5","35","Unarmed assault","14"
"1991","39","162","Unknown","62"
"1992","1450","609","Assassination","1054"
"1992","5120","3940","Armed Assault","1226"
"1992","1583","4396","Bombing/Explosion","1666"
"1992","3","4","Hijacking","22"
"1992","6","20","Hostage taking (barricade incident)","21"
"1992","48","6","Hostage taking (kidnapping)","133"
"1992","118","191","Facility/Infraestructure attack","465"
"1992","5","68","Unarmed assault","46"
"1992","196","263","Unknown","182"
"1994","952","745","Assassination","740"
"1994","4013","1847","Armed Assault","772"
"1994","1266","3357","Bombing/Explosion","1102"
"1994","20","23","Hijacking","35"
"1994","59","7","Hostage taking (barricade incident)","33"
"1994","117","34","Hostage taking (kidnapping)","172"
"1994","41","90","Facility/Infraestructure attack","184"
"1994","56","711","Unarmed assault","59"
"1994","677","782","Unknown","194"
"1995","831","259","Assassination","716"
"1995","2104","1252","Armed Assault","719"
"1995","1633","5006","Bombing/Explosion","730"
"1995","11","15","Hijacking","30"
"1995","244","20","Hostage taking (barricade incident)","13"
"1995","76","42","Hostage taking (kidnapping)","126"
"1995","35","176","Facility/Infraestructure attack","273"
"1995","20","6304","Unarmed assault","105"
"1995","746","772","Unknown","204"
"1996","778","386","Assassination","472"
"1996","2097","1721","Armed Assault","598"
"1996","1656","7322","Bombing/Explosion","1159"
"1996","5","1","Hijacking","20"
"1996","151","9","Hostage taking (barricade incident)","12"
"1996","111","93","Hostage taking (kidnapping)","140"
"1996","20","17","Facility/Infraestructure attack","212"
"1996","13","122","Unarmed assault","23"
"1996","1302","836","Unknown","239"
"1997","652","444","Assassination","398"
"1997","5324","2131","Armed Assault","746"
"1997","1703","5672","Bombing/Explosion","1083"
"1997","0","4","Hijacking","16"
"1997","4","0","Hostage taking (barricade incident)","3"
"1997","98","63","Hostage taking (kidnapping)","268"
"1997","52","68","Facility/Infraestructure attack","137"
"1997","7","49","Unarmed assault","24"
"1997","2071","799","Unknown","318"
"1998","40","67","Assassination","24"
"1998","2017","685","Armed Assault","240"
"1998","1448","7482","Bombing/Explosion","496"
"1998","3","3","Hijacking","3"
"1998","0","0","Hostage taking (barricade incident)","0"
"1998","79","33","Hostage taking (kidnapping)","40"
"1998","43","23","Facility/Infraestructure attack","56"
"1998","101","168","Unarmed assault","11"
"1998","463","44","Unknown","19"
"1999","72","138","Assassination","58"
"1999","1739","1208","Armed Assault","352"
"1999","1118","3876","Bombing/Explosion","639"
"1999","11","6","Hijacking","6"
"1999","0","0","Hostage taking (barricade incident)","6"
"1999","117","108","Hostage taking (kidnapping)","96"
"1999","33","67","Facility/Infraestructure attack","106"
"1999","68","23","Unarmed assault","31"
"1999","179","54","Unknown","36"
"2000","210","186","Assassination","100"
"2000","1897","1355","Armed Assault","465"
"2000","1303","4224","Bombing/Explosion","883"
"2000","2","4","Hijacking","7"
"2000","0","0","Hostage taking (barricade incident)","2"
"2000","212","181","Hostage taking (kidnapping)","111"
"2000","156","32","Facility/Infraestructure attack","109"
"2000","201","47","Unarmed assault","24"
"2000","349","200","Unknown","36"
"2001","144","61","Assassination","123"
"2001","2387","1268","Armed Assault","565"
"2001","996","4566","Bombing/Explosion","791"
"2001","3005","16503","Hijacking","14"
"2001","17","43","Hostage taking (barricade incident)","4"
"2001","264","103","Hostage taking (kidnapping)","137"
"2001","139","166","Facility/Infraestructure attack","144"
"2001","24","78","Unarmed assault","40"
"2001","369","94","Unknown","40"
"2002","106","73","Assassination","71"
"2002","2266","1109","Armed Assault","353"
"2002","1744","5990","Bombing/Explosion","694"
"2002","6","4","Hijacking","6"
"2002","170","5","Hostage taking (barricade incident)","4"
"2002","115","45","Hostage taking (kidnapping)","68"
"2002","1","15","Facility/Infraestructure attack","49"
"2002","10","55","Unarmed assault","9"
"2002","226","41","Unknown","22"
"2003","137","151","Assassination","86"
"2003","1235","780","Armed Assault","305"
"2003","1688","6525","Bombing/Explosion","684"
"2003","0","0","Hijacking","3"
"2003","6","8","Hostage taking (barricade incident)","1"
"2003","62","31","Hostage taking (kidnapping)","44"
"2003","2","11","Facility/Infraestructure attack","87"
"2003","13","46","Unarmed assault","19"
"2003","112","41","Unknown","25"
"2004","163","245","Assassination","99"
"2004","1706","1059","Armed Assault","249"
"2004","3109","10016","Bombing/Explosion","657"
"2004","46","0","Hijacking","1"
"2004","370","756","Hostage taking (barricade incident)","3"
"2004","71","57","Hostage taking (kidnapping)","66"
"2004","28","36","Facility/Infraestructure attack","32"
"2004","0","21","Unarmed assault","4"
"2004","193","146","Unknown","24"
"2005","349","413","Assassination","225"
"2005","1702","1447","Armed Assault","506"
"2005","3877","10771","Bombing/Explosion","1050"
"2005","12","1","Hijacking","2"
"2005","0","0","Hostage taking (barricade incident)","0"
"2005","145","97","Hostage taking (kidnapping)","108"
"2005","22","175","Facility/Infraestructure attack","49"
"2005","4","3","Unarmed assault","6"
"2005","173","107","Unknown","38"
"2006","242","100","Assassination","139"
"2006","2562","1606","Armed Assault","717"
"2006","5902","13857","Bombing/Explosion","1482"
"2006","0","1","Hijacking","1"
"2006","1","5","Hostage taking (barricade incident)","6"
"2006","334","227","Hostage taking (kidnapping)","193"
"2006","67","56","Facility/Infraestructure attack","103"
"2006","4","29","Unarmed assault","15"
"2006","159","99","Unknown","38"
"2007","193","174","Assassination","138"
"2007","3102","2117","Armed Assault","835"
"2007","8700","19850","Bombing/Explosion","1844"
"2007","3","3","Hijacking","7"
"2007","14","17","Hostage taking (barricade incident)","6"
"2007","460","566","Hostage taking (kidnapping)","215"
"2007","127","328","Facility/Infraestructure attack","107"
"2007","2","3","Unarmed assault","5"
"2007","154","119","Unknown","28"
"2008","365","603","Assassination","219"
"2008","2818","2704","Armed Assault","1076"
"2008","5327","15395","Bombing/Explosion","2644"
"2008","22","4","Hijacking","13"
"2008","109","98","Hostage taking (barricade incident)","5"
"2008","249","163","Hostage taking (kidnapping)","375"
"2008","39","161","Facility/Infraestructure attack","282"
"2008","13","159","Unarmed assault","31"
"2008","236","161","Unknown","103"
"2009","415","660","Assassination","228"
"2009","2256","1464","Armed Assault","1112"
"2009","5073","16386","Bombing/Explosion","2558"
"2009","2","3","Hijacking","23"
"2009","0","0","Hostage taking (barricade incident)","4"
"2009","377","364","Hostage taking (kidnapping)","273"
"2009","447","49","Facility/Infraestructure attack","346"
"2009","9","294","Unarmed assault","19"
"2009","693","182","Unknown","134"
"2010","478","738","Assassination","358"
"2010","2076","1175","Armed Assault","1107"
"2010","4384","13239","Bombing/Explosion","2505"
"2010","1","6","Hijacking","13"
"2010","149","184","Hostage taking (barricade incident)","8"
"2010","262","72","Hostage taking (kidnapping)","374"
"2010","34","100","Facility/Infraestructure attack","289"
"2010","6","192","Unarmed assault","20"
"2010","378","289","Unknown","108"
"2011","481","735","Assassination","342"
"2011","2453","1641","Armed Assault","1376"
"2011","4612","11907","Bombing/Explosion","2554"
"2011","2","2","Hijacking","9"
"2011","7","5","Hostage taking (barricade incident)","2"
"2011","250","62","Hostage taking (kidnapping)","346"
"2011","46","83","Facility/Infraestructure attack","237"
"2011","6","84","Unarmed assault","18"
"2011","338","364","Unknown","107"
"2012","555","434","Assassination","458"
"2012","5271","3525","Armed Assault","2075"
"2012","8289","20195","Bombing/Explosion","5059"
"2012","0","11","Hijacking","5"
"2012","65","63","Hostage taking (barricade incident)","18"
"2012","843","459","Hostage taking (kidnapping)","346"
"2012","102","125","Facility/Infraestructure attack","305"
"2012","9","1207","Unarmed assault","30"
"2012","737","403","Unknown","174"
"2013","842","1147","Assassination","847"
"2013","7401","4930","Armed Assault","2937"
"2013","12378","30361","Bombing/Explosion","6637"
"2013","17","30","Hijacking","16"
"2013","268","309","Hostage taking (barricade incident)","25"
"2013","1194","937","Hostage taking (kidnapping)","612"
"2013","145","370","Facility/Infraestructure attack","563"
"2013","2","647","Unarmed assault","39"
"2013","596","594","Unknown","250"
"2014","995","905","Assassination","913"
"2014","16099","8146","Armed Assault","4056"
"2014","15995","31430","Bombing/Explosion","8750"
"2014","55","69","Hijacking","48"
"2014","444","391","Hostage taking (barricade incident)","46"
"2014","8701","2813","Hostage taking (kidnapping)","1375"
"2014","416","386","Facility/Infraestructure attack","782"
"2014","34","278","Unarmed assault","53"
"2014","3569","2078","Unknown","771"
"2015","1228","965","Assassination","923"
"2015","11919","7486","Armed Assault","3354"
"2015","17316","32832","Bombing/Explosion","7638"
"2015","60","28","Hijacking","37"
"2015","716","802","Hostage taking (barricade incident)","82"
"2015","4047","2525","Hostage taking (kidnapping)","1153"
"2015","104","265","Facility/Infraestructure attack","696"
"2015","34","803","Unarmed assault","95"
"2015","4848","2652","Unknown","883"
"2016","935","829","Assassination","821"
"2016","8531","6072","Armed Assault","2723"
"2016","16306","30026","Bombing/Explosion","7090"
"2016","45","46","Hijacking","43"
"2016","383","545","Hostage taking (barricade incident)","61"
"2016","5404","2859","Hostage taking (kidnapping)","1114"
"2016","213","254","Facility/Infraestructure attack","691"
"2016","32","603","Unarmed assault","71"
"2016","4524","2111","Unknown","916"
"2017","827","688","Assassination","815"
"2017","6911","5732","Armed Assault","2360"
"2017","11939","16443","Bombing/Explosion","5002"
"2017","42","59","Hijacking","58"
"2017","818","287","Hostage taking (barricade incident)","82"
"2017","2709","1600","Hostage taking (kidnapping)","871"
"2017","188","254","Facility/Infraestructure attack","745"
"2017","78","879","Unarmed assault","101"
"2017","4047","1828","Unknown","819"
